(c) Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Ergebnisse nach Wahlkreisen;;;;;;;;;;;;;;;;
Status:;Endgültig;;;;;;;;;;;;;;;
Stand:;14.03.2025;10:50;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Wahlart;Wahltag;Gebietsart;Gebietsnummer;Gebietsname;UegGebietsart;UegGebietsnummer;Gruppenart;Gruppenname;Gruppenreihenfolge;Stimme;Anzahl;Prozent;VorpAnzahl;VorpProzent;DiffProzent;DiffProzentPkt;Bemerkung;Gewählt
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;System-Gruppe;Gültige;-1;1;1876229;99,273056;1760013;99,091741;6,603133;0,181316;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;System-Gruppe;Gültige;-1;2;1880005;99,472848;1762754;99,246064;6,65158;0,226784;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;SPD;1;1;424485;22,62437;530301;30,130516;-19,953951;-7,506146;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;SPD;1;2;352546;18,752397;494055;28,02745;-28,642358;-9,275053;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;CDU;2;1;573541;30,568816;465975;26,475657;23,084071;4,09316;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;CDU;2;2;518424;27,575671;388399;22,033647;33,477172;5,542024;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;GRÜNE;3;1;279298;14,886136;315633;17,933561;-11,511787;-3,047425;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;GRÜNE;3;2;279923;14,889482;322763;18,310156;-13,272897;-3,420674;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;FDP;4;1;67541;3,599827;167191;9,499418;-59,602491;-5,899591;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;FDP;4;2;88147;4,688658;220039;12,482683;-59,940283;-7,794026;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;AfD;5;1;302259;16,10992;113641;6,456827;165,977068;9,653093;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;AfD;5;2;306165;16,285329;119566;6,782909;156,063597;9,50242;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;Die Linke;6;1;115098;6,134539;55523;3,154693;107,297877;2,979846;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;Die Linke;6;2;146428;7,788703;64238;3,644184;127,946076;4,144519;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;SSW;7;1;58779;3,132827;35027;1,990156;67,810546;1,142671;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;SSW;7;2;76138;4,049883;55578;3,152907;36,993055;0,896976;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;Die PARTEI;8;1;2021;0,107716;18090;1,027833;-88,828082;-0,920117;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;Die PARTEI;8;2;13729;0,730264;17870;1,013755;-23,172916;-0,283491;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;FREIE WÄHLER;9;1;25139;1,339868;26518;1,506693;-5,200241;-0,166825;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;FREIE WÄHLER;9;2;13675;0,727392;17043;0,966839;-19,761779;-0,239448;;
